City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Roebourne,AU,86.43,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
10,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
15,Rikitea,PF,76.33,overcast clouds,-23.1203,-134.9692,People ThankYou
16,Katherine,AU,79.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
21,Ciudad Guayana,VE,82.53,overcast clouds,8.3533,-62.6528,Hotel Las Americas
28,Takoradi,GH,81.0,broken clouds,4.8845,-1.7554,Raybow International Hotel
31,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
33,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
35,Kulhudhuffushi,MV,80.91,broken clouds,6.6221,73.07,Haajy Guest House 1
36,Avarua,CK,82.45,moderate rain,-21.2078,-159.775,Paradise Inn
42,Ixtapa,MX,83.43,broken clouds,20.7,-105.2,Hotel Plaza Providencia
44,Oussouye,SN,75.29,overcast clouds,12.485,-16.5469,Auberge du Routard
45,Atuona,PF,78.49,clear sky,-9.8,-139.0333,Villa Enata
51,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Guatire,VE,79.3,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
54,Butaritari,KI,80.82,moderate rain,3.0707,172.7902,Isles Sunset Lodge
55,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Edd,ER,80.13,clear sky,13.9297,41.6925,
61,Panama,PA,85.57,broken clouds,9.0,-80.0,
63,Jaguey Grande,CU,79.45,clear sky,22.5269,-81.1286,Hostal lleana
64,Hobyo,SO,78.57,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
65,Sao Filipe,CV,75.42,broken clouds,14.8961,-24.4956,Hotel Xaguate
70,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
