City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tromso,NO,69.6496,18.957,17.62,67,20,17.27,few clouds
1,Nanortalik,GL,60.1432,-45.2371,26.87,79,94,38.34,light snow
2,Roebourne,AU,-20.7833,117.1333,86.43,29,35,15.19,scattered clouds
3,Mehamn,NO,71.0357,27.8492,30.38,74,40,25.32,scattered clouds
4,Hobart,AU,-42.8794,147.3294,62.02,57,40,3.0,scattered clouds
5,Busselton,AU,-33.65,115.3333,60.04,74,61,15.86,broken clouds
6,Port Hardy,CA,50.6996,-127.4199,37.4,80,90,4.61,overcast clouds
7,Port Alfred,ZA,-33.5906,26.891,68.81,93,100,10.47,overcast clouds
8,Te Anau,NZ,-45.4167,167.7167,49.26,70,76,5.19,broken clouds
9,Hermanus,ZA,-34.4187,19.2345,60.91,95,100,11.05,light rain
10,Tautira,PF,-17.7333,-149.15,86.02,75,76,16.17,broken clouds
11,Ushuaia,AR,-54.8,-68.3,49.66,57,40,28.77,scattered clouds
12,Port Elizabeth,ZA,-33.918,25.5701,65.1,100,90,14.97,overcast clouds
13,Barrow,US,71.2906,-156.7887,8.62,78,90,19.57,light snow
14,Upernavik,GL,72.7868,-56.1549,25.7,72,100,3.94,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,76.33,74,98,8.57,overcast clouds
16,Katherine,AU,-14.4667,132.2667,79.12,83,90,8.05,overcast clouds
17,Paita,PE,-5.0892,-81.1144,72.16,79,90,18.52,overcast clouds
18,Havelock,US,34.8791,-76.9013,62.58,79,95,1.99,overcast clouds
19,Rongcheng,CN,30.634,117.8517,44.42,61,0,2.89,clear sky
20,Punta Arenas,CL,-53.15,-70.9167,55.51,41,20,20.71,few clouds
21,Ciudad Guayana,VE,8.3533,-62.6528,82.53,77,86,8.52,overcast clouds
22,Qaanaaq,GL,77.484,-69.3632,19.83,81,100,6.04,overcast clouds
23,Nikolskoye,RU,59.7035,30.7861,-0.6,98,8,4.79,clear sky
24,Puri,IN,19.8,85.85,72.37,90,100,12.44,overcast clouds
25,Khatanga,RU,71.9667,102.5,-22.94,100,99,6.76,overcast clouds
26,Kruisfontein,ZA,-34.0033,24.7314,62.89,91,74,6.8,broken clouds
27,Medyn,RU,54.9692,35.8586,26.53,99,99,3.02,overcast clouds
28,Takoradi,GH,4.8845,-1.7554,81.0,83,58,10.0,broken clouds
29,Mar Del Plata,AR,-38.0023,-57.5575,66.22,76,0,14.0,clear sky
30,Mataura,NZ,-46.1927,168.8643,54.48,48,90,4.56,overcast clouds
