City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Umm Lajj,SA,2021-12-02 00:55:08,25.0213,37.2685,74.16,66,6,9.71
1,Nguruka,TZ,2021-12-02 00:55:08,-5.1092,31.0419,63.77,92,74,2.19
2,Sarangani,PH,2021-12-02 00:55:08,5.4033,125.4636,83.61,75,76,10.87
3,Yarada,IN,2021-12-02 00:55:09,17.65,83.2667,68.32,88,10,4.61
4,Salalah,OM,2021-12-02 00:55:09,17.0151,54.0924,72.07,46,0,6.11
5,Ushuaia,AR,2021-12-02 00:53:05,-54.8,-68.3,47.86,61,40,24.16
6,Bagn,NO,2021-12-02 00:55:09,60.8225,9.5521,20.73,83,84,5.32
7,Touros,BR,2021-12-02 00:55:10,-5.1989,-35.4608,81.5,74,37,10.96
8,Georgetown,MY,2021-12-02 00:52:39,5.4112,100.3354,78.89,88,20,1.99
9,Iturama,BR,2021-12-02 00:50:57,-19.7281,-50.1956,75.29,72,100,3.36
10,Buta,CD,2021-12-02 00:55:10,2.7858,24.73,69.87,98,100,2.24
11,Qaanaaq,GL,2021-12-02 00:55:10,77.484,-69.3632,4.42,74,18,6.58
12,Rikitea,PF,2021-12-02 00:52:38,-23.1203,-134.9692,76.51,73,0,17.22
13,Saint-Philippe,RE,2021-12-02 00:54:29,-21.3585,55.7679,72.99,84,53,10.6
14,Aktau,KZ,2021-12-02 00:55:11,43.65,51.2,41.58,73,89,14.56
15,Busselton,AU,2021-12-02 00:55:11,-33.65,115.3333,66.04,49,31,10.8
16,Albany,US,2021-12-02 00:53:35,42.6001,-73.9662,34.66,81,100,1.5
17,Mahebourg,MU,2021-12-02 00:53:45,-20.4081,57.7,77.29,78,40,3.44
18,Atar,MR,2021-12-02 00:55:12,20.5169,-13.0499,69.1,14,100,10.69
19,Souillac,MU,2021-12-02 00:55:12,-20.5167,57.5167,77.38,78,40,3.44
20,Porto Seguro,BR,2021-12-02 00:55:12,-16.4497,-39.0647,79.32,89,90,4.61
21,Broome,US,2021-12-02 00:55:12,42.2506,-75.833,37.02,81,100,1.99
22,Dhidhdhoo,MV,2021-12-02 00:55:13,6.8833,73.1,81.54,77,46,9.17
23,Bengkulu,ID,2021-12-02 00:55:13,-3.8004,102.2655,77.86,77,35,3.62
24,Arinos,BR,2021-12-02 00:55:13,-15.9169,-46.1056,74.16,83,99,1.63
25,Hermanus,ZA,2021-12-02 00:55:14,-34.4187,19.2345,59.9,75,100,10.98
26,Izhmorskiy,RU,2021-12-02 00:55:14,56.194,86.6414,17.37,85,100,12.84
27,Chinchani,IN,2021-12-02 00:55:14,19.8667,72.7,66.96,87,100,27.2
28,Khatanga,RU,2021-12-02 00:55:15,71.9667,102.5,-38.29,100,92,1.28
29,Sao Jose Da Coroa Grande,BR,2021-12-02 00:52:13,-8.8978,-35.1478,78.57,82,84,9.6
30,Cabo San Lucas,MX,2021-12-02 00:51:18,22.8909,-109.9124,77.14,66,74,6.96
31,Canaries,ES,2021-12-02 00:55:15,28.0,-15.5,58.96,68,75,17.27
32,Hobart,AU,2021-12-02 00:52:50,-42.8794,147.3294,89.02,55,20,1.01
33,Santiago,CL,2021-12-02 00:54:13,-33.4569,-70.6483,69.24,44,0,5.75
34,Nouadhibou,MR,2021-12-02 00:55:15,20.931,-17.0347,62.58,67,46,18.41
35,Energeticheskiy,KZ,2021-12-02 00:55:16,43.4278,77.0222,27.16,80,20,4.47
36,Olafsvik,IS,2021-12-02 00:55:16,64.8945,-23.7142,33.84,97,100,30.2
37,Punta Arenas,CL,2021-12-02 00:55:16,-53.15,-70.9167,51.91,50,0,13.8
38,Chuy,UY,2021-12-02 00:55:17,-33.6971,-53.4616,58.78,76,9,7.09
39,Atuona,PF,2021-12-02 00:55:17,-9.8,-139.0333,78.6,78,58,20.56
40,Bratsk,RU,2021-12-02 00:55:17,56.1325,101.6142,16.29,94,100,6.55
41,Puerto Ayora,EC,2021-12-02 00:55:18,-0.7393,-90.3518,69.57,86,52,9.75
42,Husavik,IS,2021-12-02 00:55:18,66.0449,-17.3389,21.11,79,100,12.26
43,Byron Bay,AU,2021-12-02 00:56:18,-28.65,153.6167,79.88,73,82,13.67
44,Mataura,NZ,2021-12-02 00:53:57,-46.1927,168.8643,70.48,36,100,1.79
45,Grindavik,IS,2021-12-02 00:56:19,63.8424,-22.4338,36.07,100,90,26.46
46,Nuuk,GL,2021-12-02 00:56:19,64.1835,-51.7216,31.98,99,100,5.59
47,Sterling,US,2021-12-02 00:56:19,39.0062,-77.4286,52.56,58,90,7.0
48,Bam,IR,2021-12-02 00:56:19,29.106,58.357,57.29,37,1,6.73
49,Rochegda,RU,2021-12-02 00:56:20,62.8,43.25,18.16,96,100,5.12
50,Matadi,CD,2021-12-02 00:56:20,-5.8167,13.45,75.33,95,100,0.34
51,Suraabad,AZ,2021-12-02 00:56:20,40.8192,49.4687,46.58,79,100,15.7
52,Port Alfred,ZA,2021-12-02 00:56:21,-33.5906,26.891,67.33,92,93,0.96
53,East London,ZA,2021-12-02 00:54:12,-33.0153,27.9116,69.22,92,100,3.49
54,Norman Wells,CA,2021-12-02 00:54:16,65.282,-126.8329,-21.96,63,90,4.61
55,Saint George,US,2021-12-02 00:56:17,37.1041,-113.5841,60.94,26,0,2.48
56,Tiarei,PF,2021-12-02 00:56:21,-17.5333,-149.3333,86.02,76,100,19.69
57,Bambous Virieux,MU,2021-12-02 00:56:22,-20.3428,57.7575,77.25,78,40,3.44
58,Tilichiki,RU,2021-12-02 00:56:22,60.4667,166.1,9.14,93,100,11.21
59,Thompson,CA,2021-12-02 00:56:19,55.7435,-97.8558,-0.24,78,90,8.05
60,Palmer,US,2021-12-02 00:54:05,42.1584,-72.3287,36.21,77,75,3.44
61,Manjacaze,MZ,2021-12-02 00:56:22,-24.7117,33.8828,67.12,97,72,3.78
